Time (s),Airflow (MAF) (g/s),Load (MAF) (g/rev),Manifold Air Pressure - Filtered (kPa),Mass Air Flow (g/s),Boost Target (kPa),Wastegate Duty Cycle (%),Air/Fuel Sensor #1 (λ),Injector Pulse Width (ms),Fuel - Base Multiplier,Power Mode - Fuel Ratio Target (λ),Fuel Trim - Long Term (%),Fuel Trim - Short Term (%),Coolant Temperature (°C),Intake Air Temperature (°C),Manifold Absolute Pressure (kPa),Engine Speed (rpm),Vehicle Speed (km/h),System Voltage (V),Ignition Advance (°),Ignition Advance - Base (°BTDC),Ignition Advance Multiplier,Ignition Advance - Fine Learn (°),Knock Retard (°),Throttle Position (%),Mass Air Flow Voltage (V),Fuel - Acceleration Enrich
0.000,1.04,0.00,181.3,1.04,107.7,0.0,1.523,0.00,0.594,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,1.04,0.000
0.042,1.04,0.00,287.3,1.04,107.7,0.0,1.523,0.00,0.594,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,1.04,0.000
0.107,1.04,0.00,287.3,1.04,107.7,0.0,1.523,0.00,0.594,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,1.04,0.000
0.172,1.04,0.00,286.9,1.04,107.7,0.0,1.523,0.00,0.594,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,1.04,0.000
0.239,1.04,0.00,286.9,1.04,107.7,0.0,1.523,0.00,0.594,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,1.04,0.000
0.306,1.04,0.00,181.3,1.04,107.7,0.0,1.523,0.00,0.594,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,1.04,0.000
0.374,1.04,0.00,287.3,1.04,107.7,0.0,1.523,0.00,0.594,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,1.04,0.000
0.444,1.04,0.00,286.9,1.04,107.7,0.0,1.523,0.00,0.594,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,1.04,0.000
0.516,1.04,0.00,286.9,1.04,107.7,0.0,1.523,0.00,0.594,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,1.04,0.000
0.588,1.04,0.00,181.3,1.04,107.7,0.0,1.523,0.00,0.594,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,1.04,0.000
0.659,1.04,0.00,181.3,1.04,107.7,0.0,1.523,0.00,0.594,1.000,0.00,0.00,-40,-40,255.0,25,0,20.40,10.0,0.0,0.50,0.0,0.0,7.81,1.04,0.000
